workload,asic,graph_count,engine_attempt_rows,applicable_rows,not_applicable_rows,applicable_engines
aotriton,gfx942,48,48,0,48,none
auto_regressive_dit,gfx942,5,5,5,0,ASM_SDPA_ENGINE
bench_cases,gfx942,179,314,270,44,MIOPEN_ENGINE;MIOPEN_ENGINE_DETERMINISTIC
bench_cases_moe,gfx942,121,121,56,65,HIPBLASLT_ENGINE
bnorm_backward,gfx942,8,16,16,0,HIP_MLOPS_ENGINE;MIOPEN_ENGINE
bnorm_fwd,gfx942,8,16,16,0,HIP_MLOPS_ENGINE;MIOPEN_ENGINE
conv_dgrad,gfx942,133,266,266,0,MIOPEN_ENGINE;MIOPEN_ENGINE_DETERMINISTIC
conv_fwd,gfx942,150,300,300,0,MIOPEN_ENGINE;MIOPEN_ENGINE_DETERMINISTIC
conv_wgrad,gfx942,146,292,292,0,MIOPEN_ENGINE;MIOPEN_ENGINE_DETERMINISTIC
cudnn_frontend,gfx942,53,53,18,35,HIPBLASLT_ENGINE
cudnn_frontend_attention_inference,gfx942,428,428,2,426,ASM_SDPA_ENGINE
cudnn_frontend_attention_training_v2,gfx942,141,141,0,141,none
cudnn_frontend_bench_moe,gfx942,12,12,12,0,HIPBLASLT_ENGINE
cudnn_frontend_full_norm,gfx942,30,30,0,30,none
cudnn_frontend_full_sdpa,gfx942,105,105,0,105,none
dsv3,gfx942,10,10,5,5,ASM_SDPA_ENGINE
glm_5_2_moe,gfx942,20,20,11,9,HIPBLASLT_ENGINE
gpt_oss,gfx942,5,5,0,5,none
hipblaslt,gfx942,578,578,578,0,HIPBLASLT_ENGINE
hipkittens,gfx942,73,73,37,36,ASM_SDPA_ENGINE;HIPBLASLT_ENGINE
kimiK26,gfx942,10,10,5,5,ASM_SDPA_ENGINE
llama3.1,gfx942,10,10,5,5,ASM_SDPA_ENGINE
ltx2,gfx942,5,5,5,0,ASM_SDPA_ENGINE
mad_llama3_1_8b_train,gfx942,8,8,5,3,HIPBLASLT_ENGINE
pytorch,gfx942,1200,1380,762,618,ASM_SDPA_ENGINE;HIPBLASLT_ENGINE;HIP_MLOPS_ENGINE;MIOPEN_ENGINE;MIOPEN_ENGINE_DETERMINISTIC
qwen35,gfx942,5,5,0,5,none
qwen3_235b_a22b_moe,gfx942,15,15,7,8,HIPBLASLT_ENGINE
qwen3_30b_a3b_moe,gfx942,15,15,7,8,HIPBLASLT_ENGINE
qwen3_32b,gfx942,14,14,6,8,HIPBLASLT_ENGINE
qwen3_8b,gfx942,13,13,5,8,HIPBLASLT_ENGINE
rocke,gfx942,32,32,0,32,none
sdpa_rocke,gfx942,157,157,33,124,ASM_SDPA_ENGINE
wan22_a14b,gfx942,5,5,5,0,ASM_SDPA_ENGINE
