asic,workload,graph_name,engine_id,engine_name,role,status,correctness_match,applicable,error_message,skip_reason
gfx942,cudnn_frontend_attention_training_v2,deepseek_v4__dsv4_flash__bf16_sdpa_idx0_b2_hq64_kv1_sq16384_skv16384_d512v512_causal_bwd,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,cudnn_frontend_attention_training_v2,deepseek_v4__dsv4_flash__bf16_sdpa_idx1_b2_hq64_kv1_sq8192_skv8192_d512v512_causal_bwd,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,cudnn_frontend_attention_training_v2,deepseek_v4__dsv4_flash__bf16_sdpa_idx2_b2_hq64_kv1_sq4096_skv4096_d512v512_causal_bwd,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,cudnn_frontend_attention_training_v2,deepseek_v4__dsv4_flash__bf16_sdpa_idx3_b2_hq64_kv1_sq2048_skv2048_d512v512_causal_bwd,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,cudnn_frontend_attention_training_v2,deepseek_v4__dsv4_pro__bf16_sdpa_idx0_b2_hq128_kv1_sq16384_skv16384_d512v512_causal_bwd,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,cudnn_frontend_attention_training_v2,deepseek_v4__dsv4_pro__bf16_sdpa_idx1_b2_hq128_kv1_sq8192_skv8192_d512v512_causal_bwd,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,cudnn_frontend_attention_training_v2,deepseek_v4__dsv4_pro__bf16_sdpa_idx2_b2_hq128_kv1_sq4096_skv4096_d512v512_causal_bwd,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,cudnn_frontend_attention_training_v2,deepseek_v4__dsv4_pro__bf16_sdpa_idx3_b2_hq128_kv1_sq2048_skv2048_d512v512_causal_bwd,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,cudnn_frontend_attention_training_v2,dsv3__dsv3__bf16_sdpa_idx0_b2_hq128_kv128_sq32768_skv32768_d192v128_causal_bwd,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,cudnn_frontend_attention_training_v2,dsv3__dsv3__bf16_sdpa_idx1_b2_hq128_kv128_sq32768_skv32768_d192v128_full_bwd,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,cudnn_frontend_attention_training_v2,dsv3__dsv3__bf16_sdpa_idx2_b2_hq128_kv128_sq16384_skv16384_d192v128_causal_bwd,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
