asic,workload,graph_name,engine_id,engine_name,role,status,correctness_match,applicable,error_message,skip_reason
gfx942,dsv3,dsv3__bf16_b2_hq128_kv128_sq16384_skv16384_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,dsv3,dsv3__bf16_b2_hq128_kv128_sq16384_skv16384_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,success,,True,,
gfx942,dsv3,dsv3__bf16_b2_hq128_kv128_sq2048_skv2048_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,dsv3,dsv3__bf16_b2_hq128_kv128_sq2048_skv2048_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,success,,True,,
gfx942,dsv3,dsv3__bf16_b2_hq128_kv128_sq32768_skv32768_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,dsv3,dsv3__bf16_b2_hq128_kv128_sq32768_skv32768_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,success,,True,,
gfx942,dsv3,dsv3__bf16_b2_hq128_kv128_sq4096_skv4096_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,dsv3,dsv3__bf16_b2_hq128_kv128_sq4096_skv4096_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,success,,True,,
gfx942,dsv3,dsv3__bf16_b2_hq128_kv128_sq8192_skv8192_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,dsv3,dsv3__bf16_b2_hq128_kv128_sq8192_skv8192_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,success,,True,,
gfx950,dsv3,dsv3__bf16_b2_hq128_kv128_sq16384_skv16384_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,dsv3,dsv3__bf16_b2_hq128_kv128_sq16384_skv16384_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,error,,False,"Warmup execution failed: Execute failed. Backend error: Failed to execute op graph. Status: HIPDNN_PLUGIN_STATUS_INTERNAL_ERROR(3), Error: SdpaFwdPlan::execute: hipModuleLaunchKernel failed for SDPA forward",
gfx950,dsv3,dsv3__bf16_b2_hq128_kv128_sq2048_skv2048_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,dsv3,dsv3__bf16_b2_hq128_kv128_sq2048_skv2048_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,error,,False,"Warmup execution failed: Execute failed. Backend error: Failed to execute op graph. Status: HIPDNN_PLUGIN_STATUS_INTERNAL_ERROR(3), Error: SdpaFwdPlan::execute: hipModuleLaunchKernel failed for SDPA forward",
gfx950,dsv3,dsv3__bf16_b2_hq128_kv128_sq32768_skv32768_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,dsv3,dsv3__bf16_b2_hq128_kv128_sq32768_skv32768_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,error,,False,"Warmup execution failed: Execute failed. Backend error: Failed to execute op graph. Status: HIPDNN_PLUGIN_STATUS_INTERNAL_ERROR(3), Error: SdpaFwdPlan::execute: hipModuleLaunchKernel failed for SDPA forward",
gfx950,dsv3,dsv3__bf16_b2_hq128_kv128_sq4096_skv4096_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,dsv3,dsv3__bf16_b2_hq128_kv128_sq4096_skv4096_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,error,,False,"Warmup execution failed: Execute failed. Backend error: Failed to execute op graph. Status: HIPDNN_PLUGIN_STATUS_INTERNAL_ERROR(3), Error: SdpaFwdPlan::execute: hipModuleLaunchKernel failed for SDPA forward",
gfx950,dsv3,dsv3__bf16_b2_hq128_kv128_sq8192_skv8192_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx950,dsv3,dsv3__bf16_b2_hq128_kv128_sq8192_skv8192_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,error,,False,"Warmup execution failed: Execute failed. Backend error: Failed to execute op graph. Status: HIPDNN_PLUGIN_STATUS_INTERNAL_ERROR(3), Error: SdpaFwdPlan::execute: hipModuleLaunchKernel failed for SDPA forward",
