asic,workload,graph_name,engine_id,engine_name,role,status,correctness_match,applicable,error_message,skip_reason
gfx942,kimiK26,kimiK26__bf16_b2_hq64_kv64_sq16384_skv16384_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,kimiK26,kimiK26__bf16_b2_hq64_kv64_sq16384_skv16384_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,success,,True,,
gfx942,kimiK26,kimiK26__bf16_b2_hq64_kv64_sq2048_skv2048_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,kimiK26,kimiK26__bf16_b2_hq64_kv64_sq2048_skv2048_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,success,,True,,
gfx942,kimiK26,kimiK26__bf16_b2_hq64_kv64_sq32768_skv32768_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,kimiK26,kimiK26__bf16_b2_hq64_kv64_sq32768_skv32768_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,success,,True,,
gfx942,kimiK26,kimiK26__bf16_b2_hq64_kv64_sq4096_skv4096_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,kimiK26,kimiK26__bf16_b2_hq64_kv64_sq4096_skv4096_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,success,,True,,
gfx942,kimiK26,kimiK26__bf16_b2_hq64_kv64_sq8192_skv8192_dqk192_dv128_causal,0,unknown,engine,skipped,,False,,Failed to get ranked engine ids: No engine configurations available for the graph.
gfx942,kimiK26,kimiK26__bf16_b2_hq64_kv64_sq8192_skv8192_dqk192_dv128_noncausal,4714091817493728420,ASM_SDPA_ENGINE,engine,success,,True,,
